Forbidden  Turns
(27,3,44),2
(36,6,54),3
(51,12,4),4
(16,20,23),5
(40,24,19),7
(22,19,15),8
(49,28,13),9
(48,13,17),10
(49,17,11),11
(27,33,45),12
(57,40,56),13
(56,53,55),14
(7,1,44),15
(7,1,55),15
(44,1,55),15
(36,2,14),16
(36,2,46),16
(14,2,46),16
(49,36,50),17
(16,49,46),18
(56,16,5),19
(22,46,39),20
(9,4,47),21
(9,4,62),21
(47,4,62),21
(8,9,45),22
(18,45,62),23
(37,47,38),25
(10,5,37),26
(10,5,15),26
(37,5,15),26
(56,14,50),27
(56,14,31),27
(50,14,31),27
(0,50,42),28
(38,15,41),29
(38,15,11),29
(41,15,11),29
(8,38,44),30
(35,44,21),31
(34,35,11),32
(34,11,42),33
(0,8,60),34
(0,8,63),34
(60,8,63),34
(43,60,31),35
(41,63,30),36
(10,41,52),37
(59,0,42),38
(59,0,18),38
(42,0,18),38
(56,18,29),39
(27,29,55),40
(7,27,61),41
(25,42,21),42
(52,59,55),43
(21,52,22),44
(30,22,39),45
(56,25,37),46
(48,37,54),47
(55,54,39),48
(51,39,31),49
(10,51,21),50
(7,30,61),51
(7,61,31),52
(56,7,57),53
(48,57,32),54
(32,48,56),55
(21,32,55),56
(10,56,43),57
(55,10,31),58
(34,43,21),60
(21,34,55),61
