Forbidden  Turns
(16,28,1),0
(56,17,25),1
(56,17,33),1
(25,17,33),1
(11,29,4),2
(11,29,21),2
(4,29,21),2
(25,48,51),3
(25,48,59),3
(51,48,59),3
(58,53,60),4
(58,53,55),4
(60,53,55),4
(20,54,36),5
(20,54,14),5
(36,54,14),5
(35,4,19),6
(35,4,55),6
(35,4,15),6
(19,4,55),6
(19,4,15),6
(55,4,15),6
(40,55,8),7
(40,55,42),7
(8,55,42),7
(20,10,26),8
(20,10,12),8
(20,10,42),8
(26,10,12),8
(26,10,42),8
(12,10,42),8
(24,18,12),9
(24,18,21),9
(24,18,31),9
(12,18,21),9
(12,18,31),9
(21,18,31),9
(11,31,60),10
(11,31,39),10
(60,31,39),10
(27,11,42),11
(27,11,58),11
(27,11,5),11
(42,11,58),11
(42,11,5),11
(58,11,5),11
(57,12,34),12
(57,12,58),12
(57,12,5),12
(34,12,58),12
(34,12,5),12
(58,12,5),12
(1,34,27),13
(1,34,6),13
(27,34,6),13
(25,27,51),14
(25,27,36),14
(51,27,36),14
(16,57,19),15
(16,57,23),15
(19,57,23),15
(26,1,52),16
(26,1,30),16
(26,1,47),16
(52,1,30),16
(52,1,47),16
(30,1,47),16
(20,26,60),17
(20,26,45),17
(60,26,45),17
(25,47,62),18
(25,47,22),18
(62,47,22),18
(0,25,8),19
(0,25,43),19
(0,25,15),19
(8,25,43),19
(8,25,15),19
(43,25,15),19
(8,43,41),20
(8,43,6),20
(41,43,6),20
(56,0,41),21
(56,0,3),21
(56,0,20),21
(41,0,3),21
(41,0,20),21
(3,0,20),21
(46,41,22),22
(46,41,23),22
(22,41,23),22
(9,3,2),23
(9,3,5),23
(9,3,63),23
(2,3,5),23
(2,3,63),23
(5,3,63),23
(24,6,59),24
(24,6,35),24
(24,6,13),24
(59,6,35),24
(59,6,13),24
(35,6,13),24
(15,35,38),25
(15,35,23),25
(38,35,23),25
(2,15,62),26
(2,15,38),26
(62,15,38),26
(16,9,5),27
(16,9,13),27
(16,9,21),27
(5,9,13),27
(5,9,21),27
(13,9,21),27
(32,21,8),28
(32,21,37),28
(32,21,23),28
(8,21,37),28
(8,21,23),28
(37,21,23),28
(42,8,20),29
(42,8,62),29
(42,8,14),29
(20,8,62),29
(20,8,14),29
(62,8,14),29
(49,23,45),30
(49,23,37),30
(49,23,39),30
(45,23,37),30
(45,23,39),30
(37,23,39),30
(2,37,50),31
(2,37,5),31
(50,37,5),31
(51,39,62),32
(51,39,46),32
(62,39,46),32
(59,62,60),33
(59,62,5),33
(60,62,5),33
(24,59,50),34
(24,59,22),34
(50,59,22),34
(36,24,61),35
(36,24,7),35
(61,24,7),35
(60,50,46),36
(60,50,38),36
(46,50,38),36
(56,60,20),37
(56,60,13),37
(20,60,13),37
(40,2,20),38
(40,2,13),38
(40,2,61),38
(20,2,13),38
(20,2,61),38
(13,2,61),38
(19,20,52),39
(19,20,22),39
(52,20,22),39
(49,40,38),40
(49,40,33),40
(38,40,33),40
(49,38,45),41
(49,38,63),41
(45,38,63),41
(16,45,42),42
(16,45,5),42
(42,45,5),42
(32,5,42),43
(32,5,61),43
(42,5,61),43
(33,49,19),44
(33,49,44),44
(19,49,44),44
(42,33,58),45
(42,33,30),45
(58,33,30),45
(58,19,51),46
(58,19,7),46
(51,19,7),46
(36,58,14),47
(56,51,36),48
(56,51,7),48
(36,51,7),48
(32,52,61),49
(32,52,14),49
(61,52,14),49
(56,61,22),50
(16,32,56),51
(16,32,22),51
(56,32,22),51
(44,56,7),52
(16,7,22),53
(16,7,14),53
(22,7,14),53
(13,22,14),54
(42,13,46),55
(42,13,63),55
(46,13,63),55
(36,42,30),56
(36,42,63),56
(30,42,63),56
(44,30,63),57
(44,16,14),59
(44,16,46),59
(14,16,46),59
(44,46,36),60
(36,44,14),61
